List of GSECARS Measurement Computing Devices

Model     Unique ID           IP address     IP Name          IOC

E-1608          00:80:2F:24:53:D9   10.54.160.193  e-1608-2453d9    ioc13idd_LVP
E-1608          00:80:2F:24:53:D7   10.54.160.10   e-1608-2453d7    ioc13idd_LVP
E-1608          00:80:2F:18:64:23   10.54.160.216  e-1608-186423    ioc13MeasCompE1608_1
E-1608          00:80:2F:24:53:DE   10.54.160.96   e-1608-2453de    ioc13MeasCompE1608_2
E-1608          00:80:2F:24:53:E5   10.54.160.63   e-1608-2453e5    N.A.
E-TC            00:80:2F:18:64:0B   10.54.160.218  e-tc-18640b      ioc13MeasCompETC_1
USB-CTR         1E538A2             N.A.           N.A.             N.A.
USB-CTR         ???????             N.A.           N.A.             iocHindsXray
USB-2408-2A0    1AAA83C             N.A.           N.A.             ioc13MeasComp2408_1 (13-BM-C)
USB-2408-2AO    1AAA83E             N.A.           N.A.             ioc13MeasComp2408_2
USB-1608GX-2A0  16669C2             N.A.           N.A.             N.A.
USB-TEMP-AI     1F6335A             N.A.           N.A.             N.A.
