Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
X001,BIT,0000h,"FC=02","FlowFreq1_Pulse",0,No,""
X101,BIT,0020h,"FC=02","_IO1_Module_Error",0,No,"On when module is not functioning"
X102,BIT,0021h,"FC=02","_IO1_Missing_24V",0,No,"On when missing external 24VDC input"
X201,BIT,0040h,"FC=02","_IO2_Module_Error",0,No,"On when module is not functioning"
X202,BIT,0041h,"FC=02","_IO2_Missing_24V",0,No,"On when missing external 24VDC input"
X301,BIT,0060h,"FC=02","_IO3_Module_Error",0,No,"On when module is not functioning"
X302,BIT,0061h,"FC=02","_IO3_Module_Config",0,No,"On when module is initializing"
X303,BIT,0062h,"FC=02","_IO3_CH1_Burnout",0,No,"On when CH1 senses burnout or open circuit"
X304,BIT,0063h,"FC=02","_IO3_CH1_Under_Range",0,No,"On when CH1 receives under range input"
X305,BIT,0064h,"FC=02","_IO3_CH1_Over_Range",0,No,"On when CH1 receives over range input"
X306,BIT,0065h,"FC=02","_IO3_CH2_Burnout",0,No,"On when CH2 senses burnout or open circuit"
X307,BIT,0066h,"FC=02","_IO3_CH2_Under_Range",0,No,"On when CH2 receives under range input"
X308,BIT,0067h,"FC=02","_IO3_CH2_Over_Range",0,No,"On when CH2 receives over range input"
X309,BIT,0068h,"FC=02","_IO3_CH3_Burnout",0,No,"On when CH3 senses burnout or open circuit"
X310,BIT,0069h,"FC=02","_IO3_CH3_Under_Range",0,No,"On when CH3 receives under range input"
X311,BIT,006Ah,"FC=02","_IO3_CH3_Over_Range",0,No,"On when CH3 receives over range input"
X312,BIT,006Bh,"FC=02","_IO3_CH4_Burnout",0,No,"On when CH4 senses burnout or open circuit"
X313,BIT,006Ch,"FC=02","_IO3_CH4_Under_Range",0,No,"On when CH4 receives under range input"
X314,BIT,006Dh,"FC=02","_IO3_CH4_Over_Range",0,No,"On when CH4 receives over range input"
Y001,BIT,2000h,"FC=01,05,15","",0,No,""
C1,BIT,4000h,"FC=01,05,15","VFD1 Frq_Cmd",0,No,""
C2,BIT,4001h,"FC=01,05,15","VFD1 Run_Cmd",0,No,""
C3,BIT,4002h,"FC=01,05,15","VFD1 Stop_Cmd",0,No,""
C6,BIT,4005h,"FC=01,05,15","VFD1 Stop Status",0,No,""
C7,BIT,4006h,"FC=01,05,15","VFD1 Run Status",0,No,""
C11,BIT,400Ah,"FC=01,05,15","Reset Read Timer",0,No,""
C20,BIT,4013h,"FC=01,05,15","VFD2 Frq_Cmd",0,No,""
C21,BIT,4014h,"FC=01,05,15","VFD2 Run_Cmd",0,No,""
C22,BIT,4015h,"FC=01,05,15","VFD2 Stop_Cmd",0,No,""
C25,BIT,4018h,"FC=01,05,15","VFD2 Stop Status",0,No,""
C26,BIT,4019h,"FC=01,05,15","VFD2 Run Status",0,No,""
C100,BIT,4063h,"FC=01,05,15","",0,No,""
C101,BIT,4064h,"FC=01,05,15","",0,No,""
C102,BIT,4065h,"FC=01,05,15","",0,No,""
C110,BIT,406Dh,"FC=01,05,15","",0,No,""
C111,BIT,406Eh,"FC=01,05,15","",0,No,""
C112,BIT,406Fh,"FC=01,05,15","",0,No,""
T1,BIT,B000h,"FC=02","Display Update Timer",0,No,""
DS1,INT,0000h,"FC=03,06,16","VFD1 Set Frequency",0,Yes,""
DS2,INT,0001h,"FC=03,06,16","VFD1 Run Command Code",18,No,""
DS3,INT,0002h,"FC=03,06,16","VFD1 Stop Command Code",1,No,""
DS6,INT,0005h,"FC=03,06,16","VFD1 Display Set Freq",0,Yes,""
DS10,INT,0009h,"FC=03,06,16","VFD1 Receive Error Code",0,Yes,""
